HOG,Orthogroup,product,genes
N0.HOG0000041,OG0000003,zinc finger protein OZF-like,
N0.HOG0000041,OG0000003,gastrula zinc finger protein XlCGF26.1-like,
N0.HOG0000041,OG0000003,zinc finger protein 391-like,
N0.HOG0000041,OG0000003,zinc finger protein 883-like,
N0.HOG0000042,OG0000003,zinc finger protein 883-like,
N0.HOG0000042,OG0000003,zinc finger protein 501-like,
N0.HOG0000043,OG0000003,gastrula zinc finger protein xLCGF3.1-like,
N0.HOG0000043,OG0000003,zinc finger protein 436-like,
N0.HOG0000043,OG0000003,zinc finger protein 501-like,
N0.HOG0000043,OG0000003,zinc finger protein 260-like,
N0.HOG0000044,OG0000003,zinc finger protein 239-like,
N0.HOG0000044,OG0000003,zinc finger protein OZF-like,
N0.HOG0000044,OG0000003,zinc finger protein 345-like,
N0.HOG0000044,OG0000003,zinc finger protein 99-like,
N0.HOG0000045,OG0000003,zinc finger protein 397-like,
N0.HOG0000045,OG0000003,zinc finger protein 239-like,
N0.HOG0000045,OG0000003,oocyte zinc finger protein XlCOF6.1-like,
N0.HOG0000045,OG0000003,zinc finger protein 1 homolog,
N0.HOG0000046,OG0000003,zinc finger protein 271-like,
N0.HOG0000046,OG0000003,zinc finger protein 883-like,
N0.HOG0000046,OG0000003,gastrula zinc finger protein XlCGF57.1-like,
N0.HOG0000046,OG0000003,zinc finger protein 268-like,
N0.HOG0000046,OG0000003,zinc finger protein 180-like,
N0.HOG0000046,OG0000003,zinc finger protein 91-like,
N0.HOG0000046,OG0000003,zinc finger protein 665-like,
N0.HOG0000047,OG0000003,zinc finger protein 737-like,
N0.HOG0000047,OG0000003,zinc finger protein 3-like,
N0.HOG0000047,OG0000003,zinc finger protein 679-like,
N0.HOG0000048,OG0000003,zinc finger protein 502-like,
N0.HOG0000048,OG0000003,gastrula zinc finger protein XlCGF7.1-like,
N0.HOG0000049,OG0000003,zinc finger protein 723-like,
N0.HOG0000049,OG0000003,zinc finger protein 331-like,
N0.HOG0000049,OG0000003,gastrula zinc finger protein XlCGF8.2DB-like,
N0.HOG0000050,OG0000003,zinc finger protein 737-like,
N0.HOG0000050,OG0000003,zinc finger protein 383-like,
N0.HOG0000050,OG0000003,zinc finger protein 253-like,
N0.HOG0000050,OG0000003,zinc finger protein 436-like,
N0.HOG0000050,OG0000003,zinc finger protein 883-like,
N0.HOG0000051,OG0000003,zinc finger protein 93-like,
N0.HOG0000051,OG0000003,zinc finger protein 708-like,
N0.HOG0000052,OG0000003,zinc finger protein 43-like,
N0.HOG0000052,OG0000003,zinc finger protein 678-like,
N0.HOG0000052,OG0000003,zinc finger protein 420-like,
N0.HOG0000052,OG0000003,zinc finger protein 493-like,
N0.HOG0000052,OG0000003,putative zinc finger protein 66,
N0.HOG0000053,OG0000003,zinc finger protein 501-like,
N0.HOG0000053,OG0000003,zinc finger protein 420-like,
N0.HOG0000053,OG0000003,zinc finger protein 678-like,
N0.HOG0000053,OG0000003,zinc finger protein 726-like,
N0.HOG0000053,OG0000003,zinc finger protein 493-like,
N0.HOG0000053,OG0000003,zinc finger protein 93-like,
N0.HOG0000054,OG0000003,zinc finger protein 493,
N0.HOG0000055,OG0000003,zinc finger protein 675-like,
N0.HOG0000055,OG0000003,zinc finger protein 678-like,
N0.HOG0000055,OG0000003,zinc finger protein 98-like,
N0.HOG0000055,OG0000003,zinc finger protein 708-like,
N0.HOG0000056,OG0000003,zinc finger protein 420-like,
N0.HOG0000056,OG0000003,zinc finger protein 3-like,
N0.HOG0000056,OG0000003,zinc finger protein 678,
N0.HOG0000056,OG0000003,zinc finger protein 98-like,
N0.HOG0000056,OG0000003,zinc finger protein 501-like,
N0.HOG0000056,OG0000003,zinc finger protein 253-like,
N0.HOG0000057,OG0000004,zinc finger protein 107-like,
N0.HOG0000057,OG0000004,putative zinc finger protein 66,
N0.HOG0000057,OG0000004,zinc finger protein 420-like,
N0.HOG0000057,OG0000004,zinc finger protein 665-like,
N0.HOG0000057,OG0000004,zinc finger protein 85-like,
N0.HOG0000057,OG0000004,zinc finger and SCAN domain-containing protein 20-like,
N0.HOG0000057,OG0000004,zinc finger protein with KRAB and SCAN domains 7-like,
N0.HOG0000057,OG0000004,zinc finger protein 436-like,
N0.HOG0000057,OG0000004,zinc finger protein 383-like,
N0.HOG0000057,OG0000004,zinc finger protein 287-like,
N0.HOG0000057,OG0000004,zinc finger protein 501-like,
N0.HOG0000057,OG0000004,zinc finger protein 723-like,
N0.HOG0000057,OG0000004,zinc finger protein with KRAB and SCAN domains 5,
N0.HOG0000057,OG0000004,zinc finger protein 485-like,
N0.HOG0000057,OG0000004,zinc finger protein 845-like,
N0.HOG0000057,OG0000004,zinc finger protein 708-like,
N0.HOG0000058,OG0000004,zinc finger protein 420-like,
N0.HOG0000058,OG0000004,zinc finger protein 93-like,
N0.HOG0000058,OG0000004,zinc finger protein 883-like,
N0.HOG0000058,OG0000004,zinc finger protein 345-like,
N0.HOG0000058,OG0000004,paternally-expressed gene 3 protein-like,
N0.HOG0000058,OG0000004,zinc finger protein 678-like,
N0.HOG0000058,OG0000004,zinc finger protein 91-like,
N0.HOG0000058,OG0000004,zinc finger protein 595-like,
N0.HOG0000058,OG0000004,zinc finger protein 665-like,
N0.HOG0000058,OG0000004,zinc finger protein 383-like,
N0.HOG0000058,OG0000004,gastrula zinc finger protein XlCGF26.1-like,
N0.HOG0000058,OG0000004,zinc finger protein 721-like,
N0.HOG0000058,OG0000004,zinc finger protein 501-like,
N0.HOG0000058,OG0000004,zinc finger protein 726-like,
N0.HOG0000058,OG0000004,zinc finger protein 98-like,
N0.HOG0000058,OG0000004,zinc finger protein with KRAB and SCAN domains 7-like,
N0.HOG0000058,OG0000004,zinc finger protein 708-like,
N0.HOG0000058,OG0000004,zinc finger protein 3-like,
N0.HOG0000058,OG0000004,transcriptional repressor CTCF-like,
N0.HOG0000058,OG0000004,zinc finger protein OZF-like,
N0.HOG0000058,OG0000004,gastrula zinc finger protein XlCGF8.2DB-like,
N0.HOG0000058,OG0000004,zinc finger protein 85-like,
N0.HOG0000058,OG0000004,zinc finger protein 737-like,
N0.HOG0000058,OG0000004,zinc finger protein 716-like,
N0.HOG0000058,OG0000004,zinc finger protein 253-like,
N0.HOG0000058,OG0000004,zinc finger protein 436-like,
N0.HOG0000058,OG0000004,zinc finger protein 813-like,
N0.HOG0000058,OG0000004,zinc finger protein 723-like,
N0.HOG0000058,OG0000004,gastrula zinc finger protein XlCGF7.1-like,
N0.HOG0000058,OG0000004,zinc finger protein with KRAB and SCAN domains 8-like,
N0.HOG0000058,OG0000004,zinc finger protein 331-like,
N0.HOG0000058,OG0000004,zinc finger protein 239-like,
N0.HOG0000058,OG0000004,gastrula zinc finger protein XlCGF57.1-like,
N0.HOG0000058,OG0000004,putative zinc finger protein 66,
N0.HOG0000058,OG0000004,zinc finger protein 525-like,
N0.HOG0000058,OG0000004,zinc finger protein with KRAB and SCAN domains 4-like,
N0.HOG0000058,OG0000004,zinc finger protein 501,
N0.HOG0000058,OG0000004,putative zinc finger protein 56,
N0.HOG0000058,OG0000004,zinc finger protein 213-like,
N0.HOG0000058,OG0000004,zinc finger protein 429-like,
N0.HOG0000058,OG0000004,gastrula zinc finger protein XlCGF67.1-like,
N0.HOG0000058,OG0000004,zinc finger protein 493-like,
N0.HOG0000058,OG0000004,zinc finger protein 287-like,
N0.HOG0000058,OG0000004,zinc finger protein 557-like,
N0.HOG0000058,OG0000004,zinc finger protein 480-like,
N0.HOG0000058,OG0000004,zinc finger protein 208-like,
N0.HOG0000058,OG0000004,zinc finger protein 845-like,
N0.HOG0000058,OG0000004,zinc finger protein 729-like,
N0.HOG0000059,OG0000005,vomeronasal type-2 receptor 26-like,
N0.HOG0000059,OG0000005,vomeronasal type-2 receptor 1-like,
N0.HOG0000060,OG0000006,zinc finger protein 420-like,
N0.HOG0000060,OG0000006,zinc finger protein OZF-like,
N0.HOG0000060,OG0000006,zinc finger protein 252-like,
N0.HOG0000060,OG0000006,zinc finger protein 135-like,
N0.HOG0000060,OG0000006,zinc finger and SCAN domain-containing protein 2-like,
N0.HOG0000060,OG0000006,zinc finger protein 271-like,
N0.HOG0000060,OG0000006,zinc finger protein 268-like,
N0.HOG0000060,OG0000006,zinc finger protein 470-like,
N0.HOG0000060,OG0000006,zinc finger protein 544-like,
N0.HOG0000060,OG0000006,zinc finger protein 2 homolog,
N0.HOG0000060,OG0000006,zinc finger protein 84-like,
N0.HOG0000060,OG0000006,zinc finger protein 182-like,
N0.HOG0000060,OG0000006,zinc finger protein 239-like,
N0.HOG0000060,OG0000006,zinc finger protein 436-like,
N0.HOG0000061,OG0000006,zinc finger protein 84-like,
N0.HOG0000061,OG0000006,zinc finger protein 271-like,
N0.HOG0000061,OG0000006,zinc finger protein 420-like,
N0.HOG0000061,OG0000006,zinc finger and SCAN domain-containing protein 2-like,
N0.HOG0000061,OG0000006,zinc finger protein 774-like,
N0.HOG0000061,OG0000006,zinc finger protein OZF-like,
N0.HOG0000061,OG0000006,zinc finger protein 180-like,
N0.HOG0000061,OG0000006,zinc finger protein 572-like,
N0.HOG0000061,OG0000006,oocyte zinc finger protein XlCOF6.1-like,
N0.HOG0000061,OG0000006,zinc finger protein 436-like,
N0.HOG0000061,OG0000006,zinc finger protein 135-like,
N0.HOG0000061,OG0000006,zinc finger protein 850-like,
N0.HOG0000061,OG0000006,zinc finger protein 658B-like,
N0.HOG0000061,OG0000006,zinc finger protein 2 homolog,
N0.HOG0000061,OG0000006,zinc finger protein 239-like,
N0.HOG0000061,OG0000006,zinc finger protein 2-like,
N0.HOG0000061,OG0000006,zinc finger protein 544-like,
N0.HOG0000061,OG0000006,zinc finger protein 33B-like,
N0.HOG0000061,OG0000006,zinc finger protein 268-like,
N0.HOG0000061,OG0000006,zinc finger protein 883-like,
N0.HOG0000061,OG0000006,zinc finger protein 182-like,
N0.HOG0000061,OG0000006,endothelial zinc finger protein induced by tumor necrosis factor alpha-like,
N0.HOG0000061,OG0000006,gastrula zinc finger protein XlCGF17.1-like,
N0.HOG0000061,OG0000006,zinc finger protein 391-like,
N0.HOG0000061,OG0000006,gastrula zinc finger protein XlCGF71.1-like,
N0.HOG0000061,OG0000006,zinc finger protein 585A-like,
N0.HOG0000069,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000069,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000069,OG0000008,olfactory receptor 5B21-like,
N0.HOG0000069,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000069,OG0000008,olfactory receptor 1020-like,
N0.HOG0000070,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000070,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000070,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000071,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000071,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000071,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000071,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000072,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000073,OG0000008,olfactory receptor 10A3-like,
N0.HOG0000073,OG0000008,olfactory receptor 10AG1-like,
N0.HOG0000074,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000074,OG0000008,olfactory receptor 11L1,
N0.HOG0000075,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000075,OG0000008,olfactory receptor 1019-like,
N0.HOG0000075,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000076,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000076,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000077,OG0000008,olfactory receptor 1-like,
N0.HOG0000077,OG0000008,olfactory receptor 6F1-like,
N0.HOG0000078,OG0000008,olfactory receptor 1-like,
N0.HOG0000078,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000078,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000079,OG0000008,olfactory receptor 1-like,
N0.HOG0000079,OG0000008,olfactory receptor 5G3-like,
N0.HOG0000079,OG0000008,olfactory receptor 8G1-like,
N0.HOG0000079,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000079,OG0000008,olfactory receptor 488-like,
N0.HOG0000080,OG0000008,olfactory receptor-like protein OLF1,
N0.HOG0000081,OG0000008,olfactory receptor 1361-like,
N0.HOG0000081,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000081,OG0000008,olfactory receptor 1013-like,
N0.HOG0000082,OG0000008,olfactory receptor 10A7-like,
N0.HOG0000082,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000082,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000083,OG0000008,olfactory receptor 1-like,
N0.HOG0000083,OG0000008,olfactory receptor 6N1-like,
N0.HOG0000084,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000084,OG0000008,olfactory receptor 1020-like,
N0.HOG0000084,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000085,OG0000008,olfactory receptor 1009-like,
N0.HOG0000085,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000085,OG0000008,olfactory receptor 1-like,
N0.HOG0000085,OG0000008,olfactory receptor 1052-like,
N0.HOG0000086,OG0000008,olfactory receptor 8G1-like,
N0.HOG0000086,OG0000008,olfactory receptor 1009-like,
N0.HOG0000086,OG0000008,olfactory receptor 1361-like,
N0.HOG0000087,OG0000008,olfactory receptor 1052-like,
N0.HOG0000087,OG0000008,olfactory receptor 1361-like,
N0.HOG0000087,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000088,OG0000008,olfactory receptor 1M1-like,
N0.HOG0000088,OG0000008,olfactory receptor 6C4-like,
N0.HOG0000088,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000088,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000089,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000090,OG0000008,olfactory receptor 6M1-like,
N0.HOG0000091,OG0000008,olfactory receptor 6M1-like,
N0.HOG0000091,OG0000008,olfactory receptor 49-like,
N0.HOG0000092,OG0000008,olfactory receptor 6X1-like,
N0.HOG0000093,OG0000008,olfactory receptor 6X1-like,
N0.HOG0000094,OG0000008,olfactory receptor 6X1-like,
N0.HOG0000095,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000095,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000096,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000096,OG0000008,olfactory receptor 5B21-like,
N0.HOG0000096,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000097,OG0000008,olfactory receptor 24-like,
N0.HOG0000097,OG0000008,olfactory receptor 1M1-like,
N0.HOG0000098,OG0000008,olfactory receptor 5B21,
N0.HOG0000098,OG0000008,olfactory receptor 6B1-like,
N0.HOG0000099,OG0000008,olfactory receptor 1009-like,
N0.HOG0000099,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000099,OG0000008,olfactory receptor 2AP1-like,
N0.HOG0000099,OG0000008,olfactory receptor 11A1-like,
N0.HOG0000100,OG0000008,olfactory receptor 10C1-like,
N0.HOG0000100,OG0000008,olfactory receptor 10AG1-like,
N0.HOG0000100,OG0000008,olfactory receptor 11L1-like,
N0.HOG0000100,OG0000008,olfactory receptor 10A4-like,
N0.HOG0000101,OG0000008,olfactory receptor 10C1-like,
N0.HOG0000101,OG0000008,olfactory receptor 1009-like,
