# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3627at32523	Complete	chr10	21823081	21864673	-	2686.0	1958	https://www.orthodb.org/v10?query=3627at32523	spatacsin
3704at32523	Complete	chr2	370506334	370601175	+	3592.5	2049	https://www.orthodb.org/v10?query=3704at32523	ectopic P granules protein 5 homolog
3725at32523	Complete	chr1	85935780	85985153	-	2744.5	1941	https://www.orthodb.org/v10?query=3725at32523	Zinc finger FYVE-type containing 26
3766at32523	Complete	chr14	4447969	4481707	+	3164.4	1811	https://www.orthodb.org/v10?query=3766at32523	ATP-binding cassette sub-family A member 2
3768at32523	Complete	chr3	183920461	184000435	+	4382.8	2184	https://www.orthodb.org/v10?query=3768at32523	ubiquitin carboxyl-terminal hydrolase 24
3982at32523	Complete	chr11	23671525	23709548	+	4403.7	2316	https://www.orthodb.org/v10?query=3982at32523	chromodomain-helicase-DNA-binding protein 9
4025at32523	Complete	chr7	38001235	38070338	-	3290.6	1813	https://www.orthodb.org/v10?query=4025at32523	sortilin-related receptor
4058at32523	Complete	chr5	124240672	124301993	-	4254.3	2667	https://www.orthodb.org/v10?query=4058at32523	serine-protein kinase ATM
4126at32523	Complete	chr4	152622680	152728566	-	3160.9	2046	https://www.orthodb.org/v10?query=4126at32523	leucine-rich repeat serine/threonine-protein kinase 2
4177at32523	Complete	chr15	10292056	10339631	+	3931.4	2655	https://www.orthodb.org/v10?query=4177at32523	Spen family transcriptional repressor
4188at32523	Complete	chr3	26948171	27014858	+	5426.1	2457	https://www.orthodb.org/v10?query=4188at32523	Ubiquitin protein ligase E3 component n-recognin 5
4202at32523	Complete	chr1	67627760	67691086	+	4924.5	2261	https://www.orthodb.org/v10?query=4202at32523	HECT domain E3 ubiquitin protein ligase 1
4307at32523	Complete	chr12	2345416	2389056	+	3587.4	1833	https://www.orthodb.org/v10?query=4307at32523	DNA polymerase epsilon catalytic subunit A
4408at32523	Complete	chrZ	68338215	68455938	-	4118.2	2031	https://www.orthodb.org/v10?query=4408at32523	dnaJ homolog subfamily C member 13
4413at32523	Complete	chr2	333015853	333109755	-	2021.7	2743	https://www.orthodb.org/v10?query=4413at32523	Versican
4513at32523	Complete	chr1	288453070	288502711	+	4167.6	2055	https://www.orthodb.org/v10?query=4513at32523	Dopey family member 1
4841at32523	Complete	chr2	369853011	370091622	+	2984.2	1902	https://www.orthodb.org/v10?query=4841at32523	lipoxygenase homology domain-containing protein 1
4862at32523	Complete	chr4	161790056	161875872	-	3175.0	1863	https://www.orthodb.org/v10?query=4862at32523	Protein tyrosine phosphatase, receptor type B
4898at32523	Complete	chr1	413902389	413974441	+	4020.8	2295	https://www.orthodb.org/v10?query=4898at32523	zinc finger ZZ-type and EF-hand domain containing 1 
4917at32523	Complete	chr4	35080659	35136622	+	3925.5	2178	https://www.orthodb.org/v10?query=4917at32523	serine/threonine-protein kinase ATR
5204at32523	Missing
5220at32523	Complete	chr5	81809013	81866130	+	2370.6	1780	https://www.orthodb.org/v10?query=5220at32523	nucleolar pre-ribosomal-associated protein 1
5343at32523	Complete	chr4	148808510	149039320	+	3510.0	2423	https://www.orthodb.org/v10?query=5343at32523	von Willebrand factor
5527at32523	Complete	chr6	103446015	103501185	+	2973.7	2019	https://www.orthodb.org/v10?query=5527at32523	ASH1 like histone lysine methyltransferase
5875at32523	Complete	chr1	322552923	322625174	+	3582.6	1869	https://www.orthodb.org/v10?query=5875at32523	ARFGEF family member 3
6055at32523	Complete	chr14	9386533	9451078	+	2326.1	1699	https://www.orthodb.org/v10?query=6055at32523	protein transport protein Sec16A isoform X1
6290at32523	Complete	chr4	175923894	175965385	-	3295.6	1765	https://www.orthodb.org/v10?query=6290at32523	Nucleoporin 205
6412at32523	Complete	chr4	170497047	170561789	-	3087.9	2112	https://www.orthodb.org/v10?query=6412at32523	centrosomal protein 290 
6438at32523	Complete	chr2	195895115	196001916	+	3843.3	2515	https://www.orthodb.org/v10?query=6438at32523	nucleosome-remodeling factor subunit BPTF
6451at32523	Complete	chr4	120376400	120517213	-	4589.3	2828	https://www.orthodb.org/v10?query=6451at32523	protein piccolo
6566at32523	Complete	chr3	223550783	223617994	+	3958.6	2094	https://www.orthodb.org/v10?query=6566at32523	chromodomain-helicase-DNA-binding protein 6
6641at32523	Complete	chr3	58662049	58753518	+	2126.4	1563	https://www.orthodb.org/v10?query=6641at32523	structural maintenance of chromosomes flexible hinge domain-containing protein 1
6711at32523	Complete	chr1	346335560	346377009	-	2615.6	1732	https://www.orthodb.org/v10?query=6711at32523	HEAT repeat-containing protein 1
6878at32523	Complete	chr1	162890807	162932472	-	2718.6	1558	https://www.orthodb.org/v10?query=6878at32523	lactase-phlorizin hydrolase
6879at32523	Complete	chr1	216730246	216861837	+	3573.2	1728	https://www.orthodb.org/v10?query=6879at32523	Phosphoinositide kinase, FYVE-type zinc finger containing
6895at32523	Complete	chr4	175837292	175911950	+	4029.5	2422	https://www.orthodb.org/v10?query=6895at32523	small subunit processome component 20 homolog
6923at32523	Complete	chr1	226501837	226510155	-	1999.7	1728	https://www.orthodb.org/v10?query=6923at32523	tudor domain-containing protein 6
7001at32523	Complete	chr5	79170035	79261292	-	1790.6	1499	https://www.orthodb.org/v10?query=7001at32523	Tetratricopeptide repeat domain 3
7033at32523	Complete	chr5	132059361	132090787	-	483.5	883	https://www.orthodb.org/v10?query=7033at32523	centrosomal protein 295 
7066at32523	Complete	chr4	35652117	35741192	+	3589.2	1895	https://www.orthodb.org/v10?query=7066at32523	Thyroid hormone receptor interactor 12
7335at32523	Complete	chr13	17583067	17617427	+	3255.2	1818	https://www.orthodb.org/v10?query=7335at32523	integrator complex subunit 1
7416at32523	Complete	chr1	256252448	256398272	+	3389.4	1919	https://www.orthodb.org/v10?query=7416at32523	neuroblastoma-amplified sequence
7454at32523	Complete	chr14	2823131	2848457	-	2407.1	1672	https://www.orthodb.org/v10?query=7454at32523	protein PRRC2B isoform X1
7640at32523	Complete	chr10	21060870	21098059	-	2456.7	2011	https://www.orthodb.org/v10?query=7640at32523	microtubule-associated protein 1A
7650at32523	Complete	chr3	67973048	68078094	-	2737.6	1842	https://www.orthodb.org/v10?query=7650at32523	rotatin
7668at32523	Complete	chr1	47450240	47491165	+	2980.9	1420	https://www.orthodb.org/v10?query=7668at32523	Dicer 1, ribonuclease III
7708at32523	Complete	chr13	15885248	15948493	+	2662.0	2122	https://www.orthodb.org/v10?query=7708at32523	trinucleotide repeat-containing gene 18 protein
7794at32523	Complete	chr4	131207875	131317188	+	2717.0	1840	https://www.orthodb.org/v10?query=7794at32523	Protein tyrosine phosphatase, receptor type Z1
7966at32523	Complete	chr1	88504018	88551617	+	2994.3	1515	https://www.orthodb.org/v10?query=7966at32523	low-density lipoprotein receptor-related protein 4
8095at32523	Complete	chr12	1330122	1362924	-	2303.6	1869	https://www.orthodb.org/v10?query=8095at32523	kinetochore-associated protein 1
8118at32523	Complete	chr3	137542999	137605125	-	3347.2	2051	https://www.orthodb.org/v10?query=8118at32523	nucleoprotein TPR
8142at32523	Complete	chr6	68856348	68937365	-	3035.7	1517	https://www.orthodb.org/v10?query=8142at32523	NACHT and WD repeat domain-containing protein 2
8240at32523	Complete	chr2	195417564	195533412	-	2807.1	1580	https://www.orthodb.org/v10?query=8240at32523	Helicase with zinc finger
8316at32523	Complete	chr2	117720927	117749324	-	3516.4	2346	https://www.orthodb.org/v10?query=8316at32523	protein bassoon
8402at32523	Complete	chr1	88588657	88637154	+	3344.7	1703	https://www.orthodb.org/v10?query=8402at32523	cytoskeleton-associated protein 5
8417at32523	Complete	chr3	127982675	128059370	+	3298.7	2144	https://www.orthodb.org/v10?query=8417at32523	protein PRRC2C isoform X1
8558at32523	Complete	chr4	63907895	63973336	-	2719.2	1571	https://www.orthodb.org/v10?query=8558at32523	nebulin-related-anchoring protein
8575at32523	Complete	chr1	407501303	407531116	-	2835.5	1549	https://www.orthodb.org/v10?query=8575at32523	Intraflagellar transport 172
8792at32523	Complete	chr1	187581602	187682783	+	2758.7	1443	https://www.orthodb.org/v10?query=8792at32523	E3 ubiquitin-protein ligase UBR3
9015at32523	Complete	chrZ	166111008	166175362	-	1785.7	1352	https://www.orthodb.org/v10?query=9015at32523	deleted in lung and esophageal cancer protein 1
9028at32523	Complete	chr12	3606113	3703042	-	3237.0	1726	https://www.orthodb.org/v10?query=9028at32523	citron Rho-interacting kinase isoform X1
9072at32523	Complete	chr1	385948778	386009289	+	3134.6	1652	https://www.orthodb.org/v10?query=9072at32523	anaphase-promoting complex subunit 1
9283at32523	Complete	chr4	83832044	83881340	+	3071.1	1573	https://www.orthodb.org/v10?query=9283at32523	B-TFIID TATA-box binding protein associated factor 1
9339at32523	Complete	chr1	393412991	393506069	-	3176.2	1565	https://www.orthodb.org/v10?query=9339at32523	proteasome activator complex subunit 4
9406at32523	Complete	chr1	426781586	427002776	-	2549.7	1303	https://www.orthodb.org/v10?query=9406at32523	ubiquitin carboxyl-terminal hydrolase 32
9751at32523	Complete	chr5	83024778	83055501	+	2188.3	1406	https://www.orthodb.org/v10?query=9751at32523	E3 ubiquitin-protein ligase listerin
10041at32523	Complete	chr5	30734616	30952016	+	3338.0	1571	https://www.orthodb.org/v10?query=10041at32523	sodium leak channel non-selective protein
10130at32523	Complete	chr3	10090952	10265379	-	2964.8	2269	https://www.orthodb.org/v10?query=10130at32523	thyroglobulin
10244at32523	Complete	chr1	23493109	23540747	+	1730.9	1359	https://www.orthodb.org/v10?query=10244at32523	Fanconi anemia group M protein
10325at32523	Complete	chr3	51011797	51141372	-	2736.7	1821	https://www.orthodb.org/v10?query=10325at32523	putative Polycomb group protein ASXL3
10341at32523	Complete	chr1	306524905	306669983	-	2517.2	1604	https://www.orthodb.org/v10?query=10341at32523	Laminin subunit alpha 4
10430at32523	Complete	chrZ	62401399	62439447	-	2410.1	1384	https://www.orthodb.org/v10?query=10430at32523	DNA-directed RNA polymerase I subunit RPA1
10459at32523	Complete	chr6	16635531	16788469	+	3022.7	1939	https://www.orthodb.org/v10?query=10459at32523	tyrosine-protein phosphatase non-receptor type 13
10578at32523	Complete	chr1	224024652	224077418	-	2113.4	1563	https://www.orthodb.org/v10?query=10578at32523	Minichromosome maintenance complex component 3 associated protein
10583at32523	Complete	chr14	6475577	6537909	-	975.1	1075	https://www.orthodb.org/v10?query=10583at32523	CDK5 regulatory subunit-associated protein 2
10722at32523	Complete	chr2	178061292	178130809	-	2320.4	1460	https://www.orthodb.org/v10?query=10722at32523	Integrin beta
10881at32523	Complete	chr1	223287368	223392806	-	3188.8	2205	https://www.orthodb.org/v10?query=10881at32523	collagen alpha-3(VI) chain
10949at32523	Complete	chr4	166785535	166892978	+	3297.8	2619	https://www.orthodb.org/v10?query=10949at32523	phosphatidylinositol phosphatase PTPRQ
11031at32523	Complete	chr12	13500716	13559777	-	2374.4	1279	https://www.orthodb.org/v10?query=11031at32523	DEP domain-containing protein 5
11088at32523	Complete	chr8	27321548	27339957	+	2999.9	1565	https://www.orthodb.org/v10?query=11088at32523	Transcription initiation factor TFIID subunit
11195at32523	Complete	chr1	394230831	394334073	-	2964.9	1622	https://www.orthodb.org/v10?query=11195at32523	Coiled-coil domain containing 88A
11278at32523	Complete	chr6	27620656	27640349	+	2108.9	1629	https://www.orthodb.org/v10?query=11278at32523	Tet methylcytosine dioxygenase 2
11302at32523	Complete	chr2	268456648	268526266	+	3099.8	1623	https://www.orthodb.org/v10?query=11302at32523	proteasome-associated protein ECM29 homolog
11337at32523	Complete	chr5	5484007	5596908	+	2849.1	1558	https://www.orthodb.org/v10?query=11337at32523	von Willebrand factor A domain-containing protein 8
11446at32523	Complete	chr10	21101384	21124489	+	1368.0	1281	https://www.orthodb.org/v10?query=11446at32523	tumor suppressor p53-binding protein 1
11466at32523	Complete	chr3	160148236	160218621	+	2750.8	1379	https://www.orthodb.org/v10?query=11466at32523	glycogen debranching enzyme
11525at32523	Complete	chr2	287765016	287844831	+	2004.1	1664	https://www.orthodb.org/v10?query=11525at32523	uncharacterized protein KIAA2026 homolog
11754at32523	Complete	chr1	292061394	292077704	+	1505.9	1619	https://www.orthodb.org/v10?query=11754at32523	Caspase 8 associated protein 2
11773at32523	Complete	chr4	116488868	116576977	-	3078.1	1520	https://www.orthodb.org/v10?query=11773at32523	Zinc finger SWIM-type containing 8
11855at32523	Complete	chrZ	147676593	147756521	+	2689.0	1549	https://www.orthodb.org/v10?query=11855at32523	supervillin isoform X1
11900at32523	Complete	chr13	19330949	19353392	+	2421.6	1528	https://www.orthodb.org/v10?query=11900at32523	general transcription factor 3C polypeptide 1
11992at32523	Complete	chr3	176071458	176231692	-	2108.8	1123	https://www.orthodb.org/v10?query=11992at32523	leucine-rich repeat-containing protein 7
12002at32523	Complete	chr1	335252759	335332837	+	2667.3	1941	https://www.orthodb.org/v10?query=12002at32523	cation-independent mannose-6-phosphate receptor
12176at32523	Complete	chr3	30508311	30540004	+	3028.1	1618	https://www.orthodb.org/v10?query=12176at32523	Vir like m6A methyltransferase associated
12263at32523	Complete	chr1	327030492	327088136	-	2607.2	1374	https://www.orthodb.org/v10?query=12263at32523	SNF2 histone linker PHD RING helicase
12302at32523	Complete	chr1	67149117	67167870	-	2676.7	1321	https://www.orthodb.org/v10?query=12302at32523	rho GTPase-activating protein 5
12314at32523	Complete	chr2	112128072	112191111	+	2706.4	1346	https://www.orthodb.org/v10?query=12314at32523	protein polybromo-1 isoform X1
12325at32523	Complete	chr1	112953478	113165085	+	1571.4	938	https://www.orthodb.org/v10?query=12325at32523	UPF0606 protein KIAA1549L homolog
12350at32523	Complete	chr5	110376255	110436035	-	2194.9	1468	https://www.orthodb.org/v10?query=12350at32523	cilia- and flagella-associated protein 44
12370at32523	Complete	chr4	158917902	158993877	+	2943.3	1459	https://www.orthodb.org/v10?query=12370at32523	protein MON2 homolog isoform X1
12479at32523	Complete	chr1	180447897	180525870	-	1476.3	1150	https://www.orthodb.org/v10?query=12479at32523	secretory phospholipase A2 receptor
13033at32523	Complete	chr3	220622007	220830088	-	2319.6	1410	https://www.orthodb.org/v10?query=13033at32523	neuron navigator 1 isoform X1
13169at32523	Complete	chr4	135882181	135906800	+	1930.2	1207	https://www.orthodb.org/v10?query=13169at32523	gamma-tubulin complex component 6
13552at32523	Complete	chr4	48614083	48674343	+	2039.0	1217	https://www.orthodb.org/v10?query=13552at32523	Transient receptor potential cation channel subfamily M member 2
13671at32523	Complete	chrZ	165637884	165645446	+	2162.1	1820	https://www.orthodb.org/v10?query=13671at32523	xin actin-binding repeat-containing protein 1
13675at32523	Complete	chr2	362272303	362517400	-	2611.9	1296	https://www.orthodb.org/v10?query=13675at32523	WD repeat domain 7
13705at32523	Complete	chr10	11092468	11149569	-	2082.4	1179	https://www.orthodb.org/v10?query=13705at32523	Cell migration inducing hyaluronan binding protein
13794at32523	Complete	chr1	41074160	41115184	-	2085.7	1113	https://www.orthodb.org/v10?query=13794at32523	tectonin beta-propeller repeat-containing protein 2
13828at32523	Complete	chr1	318710665	318755383	-	2364.4	1161	https://www.orthodb.org/v10?query=13828at32523	Mediator complex subunit 23
13944at32523	Complete	chr2	355829748	355882618	+	2660.5	1381	https://www.orthodb.org/v10?query=13944at32523	rapamycin-insensitive companion of mTOR isoform X1
13946at32523	Complete	chr3	72162464	72216969	+	1907.8	1297	https://www.orthodb.org/v10?query=13946at32523	zinc finger protein 236
13981at32523	Complete	chr4	98170945	98254529	-	1689.7	1403	https://www.orthodb.org/v10?query=13981at32523	methylcytosine dioxygenase TET1
14011at32523	Complete	chr4	162232795	162276471	-	2457.3	1536	https://www.orthodb.org/v10?query=14011at32523	zinc finger C3H1 domain-containing protein
14074at32523	Complete	chr14	1990489	2009075	+	2263.2	1240	https://www.orthodb.org/v10?query=14074at32523	GTPase activating protein and VPS9 domains 1
14142at32523	Complete	chr2	232007156	232052103	-	2546.9	1356	https://www.orthodb.org/v10?query=14142at32523	DNA (cytosine-5)-methyltransferase 1
14203at32523	Complete	chr1	340355219	340440589	+	2823.2	1501	https://www.orthodb.org/v10?query=14203at32523	afadin
14268at32523	Complete	chr4	108150387	108284603	+	2837.7	1587	https://www.orthodb.org/v10?query=14268at32523	disks large homolog 5
14307at32523	Complete	chr1	433556681	433600212	-	2703.4	1489	https://www.orthodb.org/v10?query=14307at32523	transcription elongation factor SPT6
14391at32523	Complete	chr1	434277480	434286144	-	2310.7	1523	https://www.orthodb.org/v10?query=14391at32523	WD repeat domain 81
14413at32523	Complete	chr1	49817480	49922487	+	2500.8	1721	https://www.orthodb.org/v10?query=14413at32523	Coiled-coil domain containing 88C
14519at32523	Complete	chr1	335628409	335733870	+	2353.2	1216	https://www.orthodb.org/v10?query=14519at32523	mitogen-activated protein kinase kinase kinase 4 isoform X1
14701at32523	Complete	chr8	6195579	6222577	-	2119.7	1215	https://www.orthodb.org/v10?query=14701at32523	copper-transporting ATPase 1
14765at32523	Complete	chr5	142169434	142309021	+	2028.0	1466	https://www.orthodb.org/v10?query=14765at32523	rho guanine nucleotide exchange factor 17
14845at32523	Complete	chrZ	70456711	70513412	+	2133.2	1123	https://www.orthodb.org/v10?query=14845at32523	phosphoinositide 3-kinase regulatory subunit 4
14923at32523	Complete	chr4	190095528	190234384	+	1941.7	1524	https://www.orthodb.org/v10?query=14923at32523	UPF0606 protein KIAA1549 homolog
14956at32523	Complete	chr1	72808428	72856329	-	2722.0	1258	https://www.orthodb.org/v10?query=14956at32523	intron-binding protein aquarius
14979at32523	Complete	chr3	145937668	145958673	-	2580.6	2164	https://www.orthodb.org/v10?query=14979at32523	abnormal spindle-like microcephaly-associated protein
15001at32523	Complete	chr3	63223477	63291921	+	2399.9	2093	https://www.orthodb.org/v10?query=15001at32523	centrosomal protein 192 
15039at32523	Complete	chr2	185807333	186280740	+	1939.0	1004	https://www.orthodb.org/v10?query=15039at32523	Regulatory associated protein of MTOR complex 1
15121at32523	Complete	chr1	14274110	14362204	-	2263.6	1401	https://www.orthodb.org/v10?query=15121at32523	Histone-lysine N-methyltransferase, H3 lysine-79 specific
15162at32523	Missing
15265at32523	Complete	chr9	1450388	1475742	-	2563.9	1285	https://www.orthodb.org/v10?query=15265at32523	rho GTPase-activating protein 35
15274at32523	Complete	chr4	44704670	44796886	+	1611.2	1022	https://www.orthodb.org/v10?query=15274at32523	sushi, nidogen and EGF-like domain-containing protein 1
15391at32523	Complete	chr1	290255566	290286278	+	3596.7	2283	https://www.orthodb.org/v10?query=15391at32523	Zinc finger protein 292
15464at32523	Complete	chr2	357005430	357037320	+	2004.0	1103	https://www.orthodb.org/v10?query=15464at32523	nuclear pore complex protein Nup155
15476at32523	Complete	chr1	87851564	87940369	-	2547.9	1352	https://www.orthodb.org/v10?query=15476at32523	MAP kinase-activating death domain protein
15520at32523	Complete	chr3	223323711	223377047	+	2636.9	1311	https://www.orthodb.org/v10?query=15520at32523	Ral GTPase activating protein non-catalytic beta subunit 
15549at32523	Complete	chr5	17117005	17171878	+	1254.6	1061	https://www.orthodb.org/v10?query=15549at32523	LIM domain only protein 7
15690at32523	Complete	chr2	277728073	277866034	-	2328.0	1571	https://www.orthodb.org/v10?query=15690at32523	focadhesin
15838at32523	Complete	chr2	115443486	115488363	+	2624.6	1255	https://www.orthodb.org/v10?query=15838at32523	protein VPRBP
15890at32523	Complete	chr3	161232997	161350847	+	1742.1	933	https://www.orthodb.org/v10?query=15890at32523	probable ATP-dependent DNA helicase HFM1
15909at32523	Complete	chr5	82328097	82414997	+	2367.3	1302	https://www.orthodb.org/v10?query=15909at32523	T cell lymphoma invasion and metastasis 1
15955at32523	Complete	chr1	26667904	26751882	-	1757.4	1660	https://www.orthodb.org/v10?query=15955at32523	ninein isoform X1
16025at32523	Complete	chr5	71402868	71507737	-	2402.6	1183	https://www.orthodb.org/v10?query=16025at32523	mediator of RNA polymerase II transcription subunit 14
16076at32523	Complete	chr3	227118394	227152260	-	2477.4	1625	https://www.orthodb.org/v10?query=16076at32523	Nuclear receptor coactivator 6
16175at32523	Complete	chr5	137553382	137575943	-	1572.7	1380	https://www.orthodb.org/v10?query=16175at32523	PCF11 cleavage and polyadenylation factor subunit
16472at32523	Complete	chr1	422460421	422519121	+	2236.3	1096	https://www.orthodb.org/v10?query=16472at32523	clustered mitochondria protein homolog
16495at32523	Complete	chr8	27282507	27297412	-	2188.1	1108	https://www.orthodb.org/v10?query=16495at32523	Zinc finger MYM-type containing 3
16505at32523	Complete	chr7	38586851	38621074	-	2020.0	1241	https://www.orthodb.org/v10?query=16505at32523	rho guanine nucleotide exchange factor 12
16602at32523	Complete	chr1	207816987	207839881	-	2146.0	1141	https://www.orthodb.org/v10?query=16602at32523	splicing factor 3B subunit 1
16690at32523	Complete	chr4	128034491	128133092	+	2101.7	1188	https://www.orthodb.org/v10?query=16690at32523	Hepatocyte growth factor receptor
16701at32523	Complete	chr11	15928798	16112130	+	2183.7	1051	https://www.orthodb.org/v10?query=16701at32523	Zinc finger protein 423
16711at32523	Missing
16928at32523	Complete	chr4	36392638	36451996	+	1866.9	1273	https://www.orthodb.org/v10?query=16928at32523	SPHK1 interactor, AKAP domain containing
16931at32523	Complete	chr1	325360807	325386238	-	3503.1	2117	https://www.orthodb.org/v10?query=16931at32523	transcription factor HIVEP2
16978at32523	Complete	chr1	276900217	276949688	+	1945.5	1506	https://www.orthodb.org/v10?query=16978at32523	PHD finger protein 3 isoform X1
17009at32523	Complete	chr1	78774471	78816415	-	2436.1	1261	https://www.orthodb.org/v10?query=17009at32523	DNA helicase INO80
17056at32523	Complete	chr2	326019820	326065478	+	2048.7	1356	https://www.orthodb.org/v10?query=17056at32523	tetratricopeptide repeat protein 37
17185at32523	Complete	chr1	356251928	356275528	+	2017.0	1269	https://www.orthodb.org/v10?query=17185at32523	ATP binding cassette subfamily C member 10
17218at32523	Complete	chr1	371711244	371783739	+	2120.5	1153	https://www.orthodb.org/v10?query=17218at32523	rab3 GTPase-activating protein non-catalytic subunit
17252at32523	Complete	chr1	334274561	334336121	+	2521.5	1303	https://www.orthodb.org/v10?query=17252at32523	tubby-related protein 4
17363at32523	Complete	chr5	5290141	5316580	-	1806.0	1429	https://www.orthodb.org/v10?query=17363at32523	A-kinase anchor protein 11
17403at32523	Complete	chr1	387762795	387796021	+	1903.2	1079	https://www.orthodb.org/v10?query=17403at32523	putative ATP-dependent RNA helicase DHX57
17511at32523	Complete	chr6	75927984	76015185	+	1723.8	1090	https://www.orthodb.org/v10?query=17511at32523	vascular endothelial growth factor receptor 2
