Orthogroup,Gene,LRT P-value (Test),LRT Adj. p-value (Test),LRT P-value (Background),LRT Adj. p-value (Background),LRT Distributions,LRT Adj. p-value (Distributions),Signal
OG0005308,AFG1L,0.5,0.5,6.900036700400736e-4,0.00173533616987119,0.8894007804972371,1,No evidence of episodic diversifying selection on test branches
OG0005309,FOXO3,0,0,0.00309978452539838,0.00711930341900149,0.1070261948280365,0.3046685364171381,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005310,SESN1,0,0,0.5,0.5,0,0,Selection associated with trait
OG0005311,CEP57L1,4.0412118096355704e-14,1.8484485729696733e-13,0.05448819084277917,0.10193272882693707,1.415416486516552e-5,9.918230181630964e-5,Selection associated with trait
OG0005312,PPIL6,0.5,0.5,0.03251841718557036,0.06352469126950923,1,1,No significant signals
OG0005313,ZBTB24,0.5,0.5,5.648172708427879e-5,1.627140033912612e-4,0.9555671835337668,1,No evidence of episodic diversifying selection on test branches
OG0005314,FIG4,0,0,0.5,0.5,0,0,Selection associated with trait
OG0005315,GPR6,0.5,0.5,0.5,0.5,0.9850233565741764,1,No significant signals
OG0005316,WASF1,0.5,0.5,0,0,0.0299384890036033,0.10160301326948352,No evidence of episodic diversifying selection on test branches
OG0005317,CDC40,0.5,0.5,1.168122841788133e-7,4.506881441299377e-7,0.1107667519256479,0.31336236389818795,No evidence of episodic diversifying selection on test branches
OG0005318,DDO,0.5,0.5,2.548049541029052e-6,8.517118859816691e-6,0.7768446528148467,1,No evidence of episodic diversifying selection on test branches
OG0005319,SLC22A16,0.5,0.5,4.181717666473794e-6,1.366122487190042e-5,0.9862847314349464,1,No evidence of episodic diversifying selection on test branches
OG0005320,CDK19,0,0,0,0,3.514058747233761e-5,2.3055848672146295e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005321,AMD1,0.5,0.5,0.5,0.5,0.999753764967418,1,No significant signals
OG0005322,SLC16A10,1.362995494734176e-4,3.769140431279428e-4,2.225991021062024e-4,5.980666344697534e-4,0.03834012419134991,0.12587080225794467,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005323,MFSD4B,0.5,0.5,0.1795900441304296,0.29665436951798774,0.9856485270772186,1,No significant signals
OG0005324,REV3L,0.5,0.5,0.4655552999463737,0.5,1,1,No significant signals
OG0005325,TRAF3IP2,9.532716048806232e-4,0.00253288684944332,0.00579548809848995,0.01279769175920695,0.5787001992295602,1,Selection associated with trait. No difference between FG-BG dist
OG0005326,TUBE1,0,0,0.5,0.5,8.332038701985844e-6,6.033929952048995e-5,Selection associated with trait
OG0005327,LAMA4,0,0,6.160648657882462e-10,2.9422877199401113e-9,0.5275614925459878,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005328,B4GALT5,0.5,0.5,0.2309755839742056,0.3689299933024687,0.9991850441807326,1,No significant signals
OG0005329,PTGIS,0.172212775580792,0.3840065343664453,0.03677955282621848,0.07122180580847946,1,1,No significant signals
OG0005330,KCNB1,0.5,0.5,2.749922362044188e-7,1.0275259131813095e-6,0.9493622784718856,1,No evidence of episodic diversifying selection on test branches
OG0005331,NA,0.02384336508025714,0.05934440074907831,0.5,0.5,0.3651178415653499,0.8147833421625935,No significant signals
OG0005332,STAU1,0.5,0.5,0.04735072613285018,0.08968552942737698,0.914866167280711,1,No significant signals
OG0005333,CSE1L,0.5,0.5,0.149659591048909,0.25261441407007185,0.931424226749223,1,No significant signals
OG0005334,ARFGEF2,0,0,0.5,0.5,4.934182035549739e-4,0.00263420180972532,Selection associated with trait
OG0005335,PREX1,0.0924542445331672,0.21631571038165237,1.528238428386008e-4,4.168098127719039e-4,0.5350620758176257,1,No evidence of episodic diversifying selection on test branches
OG0005336,SULF2,0.5,0.5,0.02086114922547949,0.04221992174866687,0.6208363261144413,1,No significant signals
OG0005337,NCOA3,1.9902148096218042e-8,6.717363089885761e-8,0.5,0.5,0.317506227462488,0.7317440459281949,Selection associated with trait. No difference between FG-BG dist
OG0005338,NA,3.915473500981648e-11,1.51135181433966e-10,0.5,0.5,1.6078691585375e-5,1.1149438860563724e-4,Selection associated with trait
OG0005339,ZMYND8,0.5,0.5,0,0,8.122215433080671e-4,0.00411615195448946,No evidence of episodic diversifying selection on test branches
OG0005340,EYA2,3.219646771412954e-15,1.5670879167495896e-14,0.5,0.5,0.02259980316431354,0.0793100959383493,Selection associated with trait. No difference between FG-BG dist
OG0005341,SLC2A10,0.5,0.5,5.661546342849988e-9,2.4883200635359976e-8,0.4397824436249739,0.930907896823067,No evidence of episodic diversifying selection on test branches
OG0005343,JPH2,0.5,0.5,1.0344991530075729e-10,5.316244459695685e-10,0.8784963397196811,1,No evidence of episodic diversifying selection on test branches
OG0005344,NA,0.05621751656678009,0.13529098675442572,0.5,0.5,0.1993956177079872,0.5073712659938022,No significant signals
OG0005345,HNF4A,0,0,0.5,0.5,1.225810954219586e-5,8.688098278309826e-5,Selection associated with trait
OG0005346,TTPAL,0.5,0.5,0.5,0.5,0.9990769585094104,1,No significant signals
OG0005347,SERINC3,0.5,0.5,2.959754663578451e-11,1.5919028501310078e-10,0.01553211257944775,0.05702796023018278,No evidence of episodic diversifying selection on test branches
OG0005348,ADA,1.4599432773820812e-14,6.822002765909572e-14,7.452250483839795e-4,0.00186716200599738,2.325301462591245e-5,1.566004580331878e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005349,CCN5 WISP2,0,0,1.286013139367714e-6,4.430397176786703e-6,1.663543567342884e-7,1.5331529320325152e-6,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005350,NA,0.453382525662661,0.5,0.06322279674324416,0.11668374557816912,0.5065065771776802,1,No significant signals
OG0005351,KCNK15,0.5,0.5,0.3591286686446823,0.5,0.9850231428298544,1,No significant signals
OG0005352,YWHAB,0.5,0.5,0.5,0.5,0.9735240342775916,1,No significant signals
OG0005353,PABPC1L,0.5,0.5,7.097477046230649e-5,2.017128616028901e-4,0.353605804566771,0.7958659642967064,No evidence of episodic diversifying selection on test branches
OG0005354,TOMM34,0.5,0.5,0.5,0.5,0.7984034630748575,1,No significant signals
OG0005355,KCNS1,0.5,0.5,0.4300188296875369,0.5,0.9917631583227756,1,No significant signals
OG0005356,MATN4,1.701632134143427e-6,5.207186877255027e-6,0.5,0.5,0.6171434210814404,1,Selection associated with trait. No difference between FG-BG dist
OG0005357,SDC4,0.4744499125521026,0.5,0.3925244506783734,0.5,0.8951222305457303,1,No significant signals
OG0005358,SYS1,0.5,0.5,0.5,0.5,0.9964603245872627,1,No significant signals
OG0005359,NA,0.5,0.5,0.4848842755806827,0.5,0.9297216498753256,1,No significant signals
OG0005360,PIGT,0.5,0.5,3.146185743257424e-4,8.258141165347209e-4,0.8831407878687919,1,No evidence of episodic diversifying selection on test branches
OG0005361,SRC,0.5,0.5,0,0,0.03604622228978138,0.1195187768949303,No evidence of episodic diversifying selection on test branches
OG0005363,GHRH,1.445199732108549e-8,4.9200466096252496e-8,0.1444472858499315,0.24472333824301237,0.0551142511265883,0.1739455613601368,Selection associated with trait. No difference between FG-BG dist
OG0005364,EMILIN3,6.373468280118644e-5,1.791942641200349e-4,0.5,0.5,0.5016171823558525,1,Selection associated with trait. No difference between FG-BG dist
OG0005365,LPIN3,0.5,0.5,0.00550345936743806,0.0121901554557996,0.9711625907870916,1,No significant signals
OG0005366,ZHX3,0,0,0.3879389670059141,0.5,0.1985032993309415,0.5054561795911606,Selection associated with trait. No difference between FG-BG dist
OG0005367,RB1CC1,0.5,0.5,4.172170755545324e-7,1.52797146502282e-6,0.8161767443121104,1,No evidence of episodic diversifying selection on test branches
OG0005368,NPBWR1,0.5,0.5,0.4039572535850053,0.5,0.8298521603614529,1,No significant signals
OG0005369,OPRK1,0.5,0.5,0.2038741174941805,0.3309560331635037,0.9827569036595112,1,No significant signals
OG0005370,ATP6V1H,0.5,0.5,0.5,0.5,1,1,No significant signals
OG0005371,LYPLA1,0.5,0.5,0.5,0.5,0.9999985881741132,1,No significant signals
OG0005372,MRPL15,0.5,0.5,6.071105952076827e-5,1.7414435170458355e-4,0.8525480906987205,1,No evidence of episodic diversifying selection on test branches
OG0005373,SOX17,1.0769163338864022e-14,5.081588851391997e-14,0.0053257927555943,0.01182993082826312,3.962052907979796e-12,6.506187071282194e-11,Selection associated with trait
OG0005374,RP1,0.5,0.5,0,0,0.1094183904539756,0.30995443832947955,No evidence of episodic diversifying selection on test branches
OG0005375,NA,0.00547876547503828,0.01408592882382094,9.96918658735524e-11,5.132262981973362e-10,0.06294634128545762,0.19434093381532297,No evidence of episodic diversifying selection on test branches
OG0005376,NA,0.5,0.5,1.831667041207741e-6,6.213738367154759e-6,0.6514566917241086,1,No evidence of episodic diversifying selection on test branches
OG0005377,LYN,0.5,0.5,0.0730989082997891,0.13317851630028946,0.9999728649649726,1,No significant signals
OG0005378,NA,0.03202110728951935,0.0787693753506255,5.413833539998913e-4,0.00138041589437685,0.3396636598104277,0.7711464352500547,No evidence of episodic diversifying selection on test branches
OG0005379,MOS,0.5,0.5,0.0021148214791869,0.00497869017434261,0.9518237844646444,1,No evidence of episodic diversifying selection on test branches
OG0005380,PLAG1,0.5,0.5,0.5,0.5,0.3262060640068372,0.7474152178753427,No significant signals
OG0005381,CHCHD7,0.5,0.5,0,0,0.03249005361295854,0.10927669023184734,No evidence of episodic diversifying selection on test branches
OG0005382,SDR16C5,1.665334536937735e-16,8.798415801379218e-16,0.011315399570535071,0.02398321525432537,3.918414682368976e-5,2.538170708175233e-4,Selection associated with trait
OG0005383,PENK,0.5,0.5,0.0795327389205116,0.14342077987457957,0.9999959867618586,1,No significant signals
OG0005384,MICU2,1.296996569588593e-7,4.194397725418417e-7,0.5,0.5,0.3494290072663347,0.7891332538838361,Selection associated with trait. No difference between FG-BG dist
OG0005385,ZDHHC20,2.220446049250313e-16,1.1617738881627696e-15,4.626073164854527e-4,0.00119113469707381,1.313897975341316e-5,9.259342897885787e-5,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005386,MRPL57,0.5,0.5,2.667891138576906e-4,7.060529025457047e-4,0.8205876129248129,1,No evidence of episodic diversifying selection on test branches
OG0005387,SKA3,7.858320339387825e-5,2.2008383241767717e-4,0.0063319803046265,0.0138887053168222,0.2643568962811083,0.6342513391784618,Selection associated with trait. No difference between FG-BG dist
OG0005388,SAP18,0.5,0.5,0.5,0.5,1,1,No significant signals
OG0005389,LATS2,0.5,0.5,0.5,0.5,0.9987373135307076,1,No significant signals
OG0005390,XPO4,2.807392060941716e-4,7.654433174350853e-4,0.4867170336054266,0.5,0.5180923968416615,1,Selection associated with trait. No difference between FG-BG dist
OG0005391,EEF1AKMT1,0,0,0.4723434533561136,0.5,0,0,Selection associated with trait
OG0005392,IL17D,0.5,0.5,8.326672684688674e-16,6.8890081657070535e-15,0.05050332018800163,0.16109684220676967,No evidence of episodic diversifying selection on test branches
OG0005393,IFT88,0.06727122547283348,0.1600234154045907,0.5,0.5,0.1843948160487693,0.4756341991314604,No significant signals
OG0005394,CRYL1,6.050715484207103e-15,2.8961776438234674e-14,0.5,0.5,3.234073173707941e-7,2.8705301790018997e-6,Selection associated with trait
OG0005395,NA,0.5,0.5,0.5,0.5,0.9999063861065964,1,No significant signals
OG0005396,PSPC1,8.509304372239512e-13,3.611550762008864e-12,0.5,0.5,3.532554581341385e-4,0.00193976696363758,Selection associated with trait
OG0005397,PARP4,5.709471784243192e-11,2.1882094251922312e-10,0,0,6.661338147750939e-16,1.5968759094359177e-14,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005398,CENPJ,0.5,0.5,0.5,0.5,0.939012783181959,1,No significant signals
OG0005399,RNF17,0.5,0.5,0.1719587995017571,0.285609190204848,0.8799700266236605,1,No significant signals
OG0005400,ARHGAP20,0,0,4.735101200026293e-14,3.3315094134168736e-13,0.5660408342186241,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005401,FDX1,0.1933519857794928,0.4276177063469795,0.5,0.5,0.6549185681295988,1,No significant signals
OG0005402,ZC3H12C,0.5,0.5,0.0153477522125694,0.03189708156762141,0.999339728185342,1,No significant signals
OG0005403,STON2,0,0,0.5,0.5,0,0,Selection associated with trait
OG0005404,TSHR,0.5,0.5,0.1708880078808068,0.2841238847647458,0.7194763160311921,1,No significant signals
OG0005405,CEP128,1.357802759116566e-13,6.019684978173547e-13,0.00117161496893492,0.00285690502709574,0.00638184662444474,0.02629928604187847,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005406,DIO2,0.5,0.5,0.5,0.5,0.9713472993120726,1,No significant signals
OG0005407,ADCK1,0.5,0.5,0.01610849167352318,0.03331012830171316,1,1,No significant signals
OG0005408,SNW1,0.5,0.5,0.1986250008952491,0.3240763117925124,0.9982807167002902,1,No significant signals
OG0005409,SLIRP,0.5,0.5,2.877851289773137e-6,9.54943445617206e-6,0.7022107534842739,1,No evidence of episodic diversifying selection on test branches
OG0005410,ALKBH1,0.4898596570097121,0.5,0.5,0.5,0.5213098871937268,1,No significant signals
OG0005411,SPTLC2,2.220446049250313e-16,1.1617738881627696e-15,0.5,0.5,0.00387964018035524,0.01692258373023907,Selection associated with trait. No difference between FG-BG dist
OG0005412,ISM2,0.5,0.5,1.9559887043385518e-10,9.818518704956976e-10,0.6615392819436319,1,No evidence of episodic diversifying selection on test branches
OG0005413,AHSA1,0.3964974299340263,0.5,0.00740875175821953,0.01612964470833505,0.8741358191105598,1,No significant signals
OG0005414,VIPAS39,0,0,0.08437022037401076,0.15135569799268017,0.10615408909066,0.30278756987164523,Selection associated with trait. No difference between FG-BG dist
OG0005415,NOXRED1,0.5,0.5,0.4810736996371756,0.5,0.9993000436660454,1,No significant signals
OG0005416,TMED8,1.245154661947967e-4,3.4526012318159905e-4,0.00193178398152876,0.0045776721183324,0.6188718281632075,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005418,POMT2,0.00266855828861634,0.00694965495927951,0.4064929128983559,0.5,1,1,Selection associated with trait. No difference between FG-BG dist
OG0005419,NGB,0.5,0.5,0.4936090198733777,0.5,0.99852652169098,1,No significant signals
OG0005420,ZDHHC22,0.1255194137399238,0.28691098956822525,0.3076053884558445,0.4714872532229682,0.1919602625537001,0.4916318769280026,No significant signals
OG0005421,IRF2BPL,0.5,0.5,0.1143747142404141,0.1979201713730341,0.997903071666094,1,No significant signals
OG0005422,LRRC74A,0,0,0.06252349546402852,0.11546699311688068,2.9276581159365383e-13,5.390628369215915e-12,Selection associated with trait
OG0005423,ANGEL1,0.5,0.5,0.01150359151383606,0.02435822876455523,0.9952829013057792,1,No significant signals
OG0005424,VASH1,0.5,0.5,0.5,0.5,0.9989624001672296,1,No significant signals
OG0005425,GPATCH2L,0.5,0.5,0,0,0.00549661269971391,0.02309110985598261,No evidence of episodic diversifying selection on test branches
OG0005426,TGFB3,0.4996715380086938,0.5,0.5,0.5,0.9613957313909912,1,No significant signals
OG0005427,ERG28,0.5,0.5,0.5,0.5,0.9956999169423296,1,No significant signals
OG0005428,FLVCR2,4.996003610813204e-16,2.5598232828879504e-15,0.1654365198636119,0.27602094827146956,0.00613958105091916,0.02545852152115689,Selection associated with trait. No difference between FG-BG dist
OG0005429,BATF,0.5,0.5,0.5,0.5,0.7199037197536621,1,No significant signals
OG0005430,JDP2,0.5,0.5,0.5,0.5,0.6919369223889149,1,No significant signals
OG0005431,FOS,0.4904851089496993,0.5,0.03674012864971204,0.07116138615367233,0.9957530307050304,1,No significant signals
OG0005432,NEK9,0,0,0.5,0.5,4.3871430710495936e-8,4.3942518676924977e-7,Selection associated with trait
OG0005433,ZC2HC1C,0.05528841913511184,0.1331661506248978,0.4995797897558087,0.5,1,1,No significant signals
OG0005434,MLH3,5.9952043329758445e-15,2.8727850663107954e-14,0.01437912305541239,0.0299992601064462,5.645598433190456e-10,7.0047415473864195e-9,Selection associated with trait
OG0005435,EIF2B2,0.5,0.5,0.5,0.5,0.8539386234251293,1,No significant signals
OG0005436,PGF,0,0,1.178954723846104e-7,4.544621015663334e-7,0.1065433596241958,0.3035977063509353,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005437,RPS6KL1,0.5,0.5,0.00508348239689732,0.0113382620264818,0.625086640036654,1,No significant signals
OG0005438,YLPM1,0.5,0.5,0,0,3.989314930619159e-7,3.497019380406491e-6,No evidence of episodic diversifying selection on test branches
OG0005439,FCF1,0.5,0.5,0.5,0.5,0.7471764795838031,1,No significant signals
OG0005440,AREL1,0.5,0.5,0.476000455828502,0.5,0.9511259906707966,1,No significant signals
OG0005441,NPC2,0.5,0.5,0.01854696413984364,0.03794107861949974,0.7631794098124327,1,No significant signals
OG0005442,SYNDIG1L,0.5,0.5,0.5,0.5,0.8626683883724544,1,No significant signals
OG0005443,VRTN,0.00312550370222036,0.00812011679345993,0.1410411292963881,0.2394213285466737,0.6305226364358606,1,Selection associated with trait. No difference between FG-BG dist
OG0005444,ABCD4,0,0,0.4151904311319195,0.5,0,0,Selection associated with trait
OG0005445,NA,0.04683306752788075,0.11355207480945506,0.2054887558942996,0.33301492387814025,0.6267500522210967,1,No significant signals
OG0005446,VSX2,0.5,0.5,4.5322823272186947e-10,2.1973317232353272e-9,0.9988745909907972,1,No evidence of episodic diversifying selection on test branches
OG0005447,LIN52,3.729483388781318e-11,1.4434234904523039e-10,1.230843205135557e-11,6.90223410953607e-11,0.6210136905442438,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005448,ALDH6A1,0.4953677974788599,0.5,7.2100603265568e-11,3.7587868714471413e-10,1,1,No evidence of episodic diversifying selection on test branches
OG0005449,BBOF1,0,0,1.1499490248922939e-10,5.88855553930054e-10,1.277611239025589e-9,1.5125099401542338e-8,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005450,COQ6,0.5,0.5,0.1080220102502242,0.18843428274651083,0.5230876226186746,1,No significant signals
OG0005451,FAM161B,0.03044967425244682,0.07505311335251347,0.08652372511047701,0.15480180217202152,0.4644505915289203,0.9675867643455166,No significant signals
OG0005452,ZNF410,5.564276817082714e-11,2.1344526407373142e-10,0.023176517629664,0.04652507157669038,0.01995151894433933,0.07120018348219075,Selection associated with trait. No difference between FG-BG dist
OG0005453,FBXO33,0.5,0.5,0.5,0.5,0.1364007153285103,0.3711986762430592,No significant signals
OG0005454,PNN,7.440680887482731e-6,2.2014240136846344e-5,0.5,0.5,0.3848303758695211,0.845772567635732,Selection associated with trait. No difference between FG-BG dist
OG0005455,TRAPPC6B,0.5,0.5,0.3067138473440743,0.47037066009491746,0.975461487728054,1,No significant signals
OG0005456,PROSER1,0.5,0.5,0.5,0.5,0.9999999994152764,1,No significant signals
OG0005457,SSTR1,0.5,0.5,0.5,0.5,0.9368743107143492,1,No significant signals
OG0005458,TTC6,0,0,0,0,3.763656053479281e-14,7.539509140465208e-13,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005459,FOXA1,0.09668734716204512,0.22571683364994297,0.5,0.5,0.9448085235442328,1,No significant signals
OG0005460,MIPOL1,1.360515311521482e-9,4.875320706379671e-9,0,0,0.00156502074486231,0.00746620150277753,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005461,PAX9,0.4976567872745687,0.5,2.220446049250313e-16,1.9006666775679738e-15,0.5201571553355485,1,No evidence of episodic diversifying selection on test branches
OG0005462,NKX2-8,0.5,0.5,0.5,0.5,0.4398523677038966,0.930907896823067,No significant signals
OG0005463,NKX2-1,0.5,0.5,0.5,0.5,0.06999637096000955,0.21336688773790863,No significant signals
OG0005464,MBIP,0,0,0.2660010868067215,0.41554560985681377,7.854272638940785e-7,6.683468575948234e-6,Selection associated with trait
OG0005465,BRMS1L,0.5,0.5,0.5,0.5,0.992604144697562,1,No significant signals
OG0005466,INSM2,0.5,0.5,0.04536982954262303,0.08623556003994283,0.8364741166144377,1,No significant signals
OG0005467,NFKBIA,0.06575677106742439,0.1568087894233923,0.2144573884238809,0.3457366317846992,0.7190021384778322,1,No significant signals
OG0005468,PSMA6,0.5,0.5,0.2360984915075664,0.3759362827630396,1,1,No significant signals
OG0005469,PPP2R3C,0.5,0.5,9.101813747136588e-11,4.69131007550447e-10,0.2415780143498732,0.5919927641339743,No evidence of episodic diversifying selection on test branches
OG0005470,FAM177A1,0.4983893217984541,0.5,0.09500393126105372,0.16816609145697667,0.9969072903504492,1,No significant signals
OG0005471,SRP54,0.5,0.5,0.3437050012229051,0.5,1,1,No significant signals
OG0005472,NA,0.4973530890096482,0.5,2.775557561562891e-16,2.371142659206837e-15,1,1,No evidence of episodic diversifying selection on test branches
OG0005473,CFL2,0.5,0.5,1.666187273724473e-5,5.114999881806168e-5,0.9006925614039204,1,No evidence of episodic diversifying selection on test branches
OG0005474,EAPP,0.5,0.5,0.5,0.5,0.98877606948783,1,No significant signals
OG0005475,SPTSSA,0.2613984240121774,0.5,0.5,0.5,0.5574022769520639,1,No significant signals
OG0005476,AKAP6,1.3293000034053648e-10,5.008168145176328e-10,1.910766287279708e-4,5.172277588401187e-4,0.3314290824008754,0.7567776461997825,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005477,ARHGAP5,2.275957200481571e-15,1.1197347136422691e-14,0.5,0.5,0.0557550323158732,0.17577561007707346,Selection associated with trait. No difference between FG-BG dist
OG0005478,NUBPL,0,0,3.497202527569243e-15,2.761386010363525e-14,1.609336836683184e-6,1.306491649592521e-5,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005479,DTD2,0.5,0.5,0.5,0.5,0.998998295149968,1,No significant signals
OG0005480,HEATR5A,0.1587957031558351,0.35583066160295107,2.50160683817835e-4,6.66325194755169e-4,0.668013811881295,1,No evidence of episodic diversifying selection on test branches
OG0005481,HECTD1,0.5,0.5,0.5,0.5,1,1,No significant signals
OG0005482,AP4S1,1.542654892716655e-13,6.807820214977017e-13,0.06440868743739891,0.118669955521237,3.371913366301271e-7,2.9776059461195107e-6,Selection associated with trait
OG0005483,STRN3,0,0,0.4973237170669441,0.5,4.15449462184414e-5,2.6830594371223275e-4,Selection associated with trait
OG0005484,COCH,2.90878432451791e-14,1.338969124700957e-13,2.22273497663128e-7,8.356015850463553e-7,0.05019708673029688,0.16035643726983728,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005485,SCFD1,0,0,0.5,0.5,1.464017795882455e-11,2.2266449921909952e-10,Selection associated with trait
OG0005486,G2E3,0.5,0.5,0.00404682284564411,0.00912723609752519,0.9354336429108506,1,No evidence of episodic diversifying selection on test branches
OG0005487,PRKD1,0.5,0.5,0.5,0.5,0.816344000687476,1,No significant signals
OG0005491,BRD2,1.7573949240290432e-8,5.952444490233791e-8,1.381643521813913e-9,6.404254439088165e-9,0.1079921535890352,0.3068168408271539,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005493,KCNT2,0.5,0.5,0,0,0.6171016576266416,1,No evidence of episodic diversifying selection on test branches
OG0005494,SEMA5B,0.5,0.5,1.38222766565832e-14,1.020631247321425e-13,0.1550262056815487,0.4126720344411327,No evidence of episodic diversifying selection on test branches
OG0005495,HSPBAP1,0.5,0.5,0.1428209425092895,0.2422050629973332,0.964389794045178,1,No significant signals
OG0005496,SLC15A2,4.773959005888173e-15,2.300325235910704e-14,1.665334536937735e-16,1.4397407674984176e-15,0.143112181601876,0.3854630624284578,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005497,EAF2,0.5,0.5,0.5,0.5,0.8307722740795492,1,No significant signals
OG0005499,TFCP2L1,0.01246522234059921,0.03156057171900104,0.02069810968097419,0.04194881526443809,0.1961319709930164,0.500674125003994,No significant signals
OG0005500,DNAAF11 LRRC6,0.4951473772663841,0.5,0.05993016170322546,0.11122359411960392,0.9883743341127392,1,No significant signals
OG0005501,SLA,0.5,0.5,3.649058122334736e-8,1.4952153878165158e-7,0.275334268618601,0.6547795440025758,No evidence of episodic diversifying selection on test branches
OG0005502,CCN4 WISP1,0.2254687459942131,0.4904993785404525,1.54598556179053e-13,1.0387390568117426e-12,0.0684666221808975,0.20921968515306744,No evidence of episodic diversifying selection on test branches
OG0005503,SCOC,2.3966778561757e-10,8.913128563534382e-10,0.00422302949907749,0.00950483674512785,0.5140364468256977,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005504,ELMOD2,0.5,0.5,0.5,0.5,0.9998738106177136,1,No significant signals
OG0005505,TBC1D9,1.266764471097304e-11,5.0103198047879655e-11,0.5,0.5,0.00393716829241053,0.01714758651359876,Selection associated with trait. No difference between FG-BG dist
OG0005506,RNF150,0.4999316338908096,0.5,3.8840486382696326e-11,2.0659223672763003e-10,0.9536915009994702,1,No evidence of episodic diversifying selection on test branches
OG0005507,ZNF330,0.5,0.5,3.684275107218582e-12,2.19282783891813e-11,0.06197226486729579,0.19188120936013517,No evidence of episodic diversifying selection on test branches
OG0005508,IL15,1.160742847672314e-6,3.582406777373825e-6,0.01132154513805328,0.02399036523621769,0.00454089802835244,0.01953127810008055,Selection associated with trait. No difference between FG-BG dist
OG0005509,GAB1,3.478555358036872e-4,9.439767346645058e-4,0,0,3.579459153536524e-4,0.00196427644354502,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
