Orthogroups,Gene,LRT P-value (Test),LRT Adj. p-value (Test),LRT P-value (Background),LRT Adj. p-value (Background),LRT Distributions,LRT Adj. p-value (Distributions),Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (Site),P-value (Site),Adj. P-value (Site),Signal (BUSTED-PH),Signal (PAML)
OG0005384,MICU2,1.296996569588593e-7,4.194397725418417e-7,0.5,0.5,0.3494290072663347,0.7891332538838361,bsA1/bsA,18.87680600000021,1.3943777065428264e-5,4.373031009447005e-5,M1/M2,2.239929999999731,0.3262912146157439,0.9136084071765024,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005387,SKA3,7.858320339387825e-5,2.2008383241767717e-4,0.0063319803046265,0.0138887053168222,0.2643568962811083,0.6342513391784618,bsA1/bsA,9.103094000000056,0.002551774816375,0.00638847474047193,M1/M2,2.4606160000003,0.2922025654294882,0.8424788856808744,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005391,EEF1AKMT1,0,0,0.4723434533561136,0.5,0,0,bsA1/bsA,254.08825999999956,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005394,CRYL1,6.050715484207103e-15,2.8961776438234674e-14,0.5,0.5,3.234073173707941e-7,2.8705301790018997e-6,bsA1/bsA,50.18455000000085,1.3994361225400098e-12,7.0439729041038635e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005396,PSPC1,8.509304372239512e-13,3.611550762008864e-12,0.5,0.5,3.532554581341385e-4,0.00193976696363758,bsA1/bsA,42.065120000000206,8.828393571747029e-11,4.0115154468827054e-10,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005403,STON2,0,0,0.5,0.5,0,0,bsA1/bsA,596.0818559999989,0,0,M1/M2,0.2266299999992043,0.8928693619652189,1,Selection associated with trait,PS_fg
OG0005411,SPTLC2,2.220446049250313e-16,1.1617738881627696e-15,0.5,0.5,0.00387964018035524,0.01692258373023907,bsA1/bsA,92.15595399999984,0,0,M1/M2,0.0242499999994834,0.9879482116170666,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005414,VIPAS39,0,0,0.08437022037401076,0.15135569799268017,0.10615408909066,0.30278756987164523,bsA1/bsA,170.9233979999999,0,0,M1/M2,4.420596000000842,0.1096679625926519,0.3947495327172455,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005428,FLVCR2,4.996003610813204e-16,2.5598232828879504e-15,0.1654365198636119,0.27602094827146956,0.00613958105091916,0.02545852152115689,bsA1/bsA,46.32352400000036,1.0025313912365164e-11,4.833675966406668e-11,M1/M2,2.378916000000572,0.304386196684443,0.8682889116576143,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005432,NEK9,0,0,0.5,0.5,4.3871430710495936e-8,4.3942518676924977e-7,bsA1/bsA,53.26293599999917,2.917666108714912e-13,1.5272187892944956e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005434,MLH3,5.9952043329758445e-15,2.8727850663107954e-14,0.01437912305541239,0.0299992601064462,5.645598433190456e-10,7.0047415473864195e-9,bsA1/bsA,28.456505999998623,9.58272048379172e-8,3.504180603362254e-7,M1/M2,2.6707300000016403,0.2630621402492628,0.7798050611217175,Selection associated with trait,PS_fg
OG0005444,ABCD4,0,0,0.4151904311319195,0.5,0,0,bsA1/bsA,167.68726199999946,0,0,M1/M2,3.375127999999677,0.1849695614765739,0.5925646801665634,Selection associated with trait,PS_fg
OG0005452,ZNF410,5.564276817082714e-11,2.1344526407373142e-10,0.023176517629664,0.04652507157669038,0.01995151894433933,0.07120018348219075,bsA1/bsA,13.770472000000154,2.065574144709e-4,5.870997280538273e-4,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005454,PNN,7.440680887482731e-6,2.2014240136846344e-5,0.5,0.5,0.3848303758695211,0.845772567635732,bsA1/bsA,10.629453999999896,0.0011130057171417,0.00290920368959642,M1/M2,1.6073540000006687,0.4476798153341362,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005464,MBIP,0,0,0.2660010868067215,0.41554560985681377,7.854272638940785e-7,6.683468575948234e-6,bsA1/bsA,101.50538200000028,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005477,ARHGAP5,2.275957200481571e-15,1.1197347136422691e-14,0.5,0.5,0.0557550323158732,0.17577561007707346,bsA1/bsA,27.77048599999944,1.365940921482789e-7,4.941581553508496e-7,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005483,STRN3,0,0,0.4973237170669441,0.5,4.15449462184414e-5,2.6830594371223275e-4,bsA1/bsA,108.86831800000073,0,0,M1/M2,3.1407859999999346,0.2079634366644416,0.6547533337562778,Selection associated with trait,PS_fg
OG0005505,TBC1D9,1.266764471097304e-11,5.0103198047879655e-11,0.5,0.5,0.00393716829241053,0.01714758651359876,bsA1/bsA,22.154285999999047,2.5159365653060206e-6,8.323991998116663e-6,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005521,RAD51B,0,0,0.1355792626738718,0.2308742501337439,0,0,bsA1/bsA,550.3838720000003,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005524,ARG2,0,0,0.1180495344397929,0.20383093995250753,3.166335550641719e-6,2.4554266797354424e-5,bsA1/bsA,66.59740200000033,3.3306690738754696e-16,2.052692107773593e-15,M1/M2,3.192402000000584,0.2026649816389192,0.6406539816930072,Selection associated with trait,PS_fg
OG0005525,VTI1B,3.8857805861880484e-16,2.00761463838038e-15,0.1787961839847089,0.29545582894857186,4.486051450314221e-6,3.378789316885925e-5,bsA1/bsA,53.29366600000003,2.87214696470528e-13,1.5043609971706972e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005530,EIF2S1,0,0,0.5,0.5,0,0,bsA1/bsA,84.51469400000042,0,0,M1/M2,0.8313339999999698,0.6598999805941732,1,Selection associated with trait,PS_fg
OG0005537,MATN1,5.551115123125783e-17,2.9987110034663246e-16,0.00583572205380061,0.01287667992187418,4.42703579291992e-4,0.00238701356709837,bsA1/bsA,71.11397399999987,0,0,M1/M2,2.0138520000000426,0.365340311318614,0.9892858351243404,Selection associated with trait,PS_fg
OG0005540,SNRNP40,1.0833167696233659e-11,4.300469414825968e-11,0.5,0.5,0,0,bsA1/bsA,55.359277999999904,1.0036416142611416e-13,5.406628682789146e-13,M1/M2,0.001393999999891,0.9993032428481294,1,Selection associated with trait,PS_fg
OG0005542,HAAO,5.184830342841451e-11,1.9933150505086588e-10,0.5,0.5,1.928394625105856e-5,1.3223714013998474e-4,bsA1/bsA,50.50014199999987,1.1916023723301805e-12,6.023964978029874e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005543,MTA3,0,0,0.01520059385967165,0.03162162001480732,5.211499951496279e-5,3.3064751158540175e-4,bsA1/bsA,167.3887679999998,0,0,M1/M2,5.46000000213e-4,0.9997270372610026,1,Selection associated with trait,PS_fg
OG0005550,DDX56,8.676506606242196e-6,2.5609307015832186e-5,0.04180247313230628,0.08012372148105837,0.2048316053901729,0.5178535533294059,bsA1/bsA,20.977412000000182,4.647303784799384e-6,1.5105130934279964e-5,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005551,NA,0,0,0.3093114297156169,0.47376656862990246,2.512323682424267e-12,4.1730612567561627e-11,bsA1/bsA,188.7584740000002,0,0,M1/M2,2.29484999999977,0.3174531597116961,0.8957496053342833,Selection associated with trait,PS_fg
OG0005552,PSD4,0,0,0.1687973675965793,0.28105055439551757,0.01683611324515355,0.06126985871470093,bsA1/bsA,40.336567999998806,2.137701127225e-10,9.439094222277035e-10,M1/M2,0.8821199999983946,0.64335410416916194,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005554,UFM1,5.981645839758798e-8,1.969755064584195e-7,0.02502602176407204,0.04989062251699595,0.1706884257833126,0.4465711403505303,bsA1/bsA,39.954620000000205,2.599320758633894e-10,1.1366260595446435e-9,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005555,KANSL3,0,0,0.5,0.5,0,0,bsA1/bsA,113.3886620000012,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005558,IL1B,2.730115578053471e-10,1.0135744406896068e-9,0.03902607332201458,0.0752018789865763,1.037897451217074e-5,7.410861834020262e-5,bsA1/bsA,34.345070000000305,4.615680837538605e-9,1.863002459203144e-8,M1/M2,2.523858000000473,0.2831073852875406,0.8242828378144862,Selection associated with trait,PS_fg
OG0005566,CUNH2ORF68 C13H2ORF68,5.831826686650277e-4,0.00156298012221342,0.5,0.5,0.0175207001152814,0.06344106225842897,bsA1/bsA,15.806231999999907,7.017100171102797e-5,2.0735008102833383e-4,M1/M2,0.0623179999997773,0.9693214387140212,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005575,ADD2,2.101840923529608e-11,8.230466675215035e-11,0.4874127883474306,0.5,0.0044232246448429,0.01909156412791546,bsA1/bsA,62.74711800000114,2.3314683517128287e-15,1.3723755417142351e-14,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005592,RASSF2,1.2490009027033011e-14,5.867998812157636e-14,0.09427867322911632,0.16705316095920816,0,0,bsA1/bsA,127.36038999999982,0,0,M1/M2,0.3041160000002492,0.8589384608655238,1,Selection associated with trait,PS_fg
OG0005596,ADRA2B,0,0,0.5,0.5,1.0674658046383461e-8,1.1390689362934953e-7,bsA1/bsA,51.78082200000063,6.20503648463e-13,3.188416029301977e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005612,RNF144B,0,0,0.5,0.5,1.580357952279954e-7,1.4642845523587498e-6,bsA1/bsA,52.26564599999983,4.84834394853806e-13,2.500773347567633e-12,M1/M2,0.4658060000001569,0.7922304161476906,1,Selection associated with trait,PS_fg
OG0005613,KDM1B,2.109423746787797e-15,1.0401682680741651e-14,0.5,0.5,0.8934324431201073,1,bsA1/bsA,9.774767999999312,0.001769230439702,0.00452978716357088,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005628,UGT8,0,0,0.5,0.5,1.813960093244305e-11,2.73008880816282e-10,bsA1/bsA,147.5655139999999,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005632,SHROOM1,0,0,0.3596180872257364,0.5,1,1,bsA1/bsA,51.76397800000268,6.259437412836636e-13,3.214337759251358e-12,M1/M2,4.075479999999516,0.1303229080826633,0.4540691103999364,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005642,PRELID2,0,0,0.4183547329343731,0.5,0,0,bsA1/bsA,204.5917460000001,0,0,M1/M2,0.7273279999999431,0.6951247174139759,1,Selection associated with trait,PS_fg
OG0005643,GRXCR2,0,0,0.1113725319636887,0.19346003444676071,8.73857975569603e-6,6.296725162847081e-5,bsA1/bsA,135.0409320000008,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005652,SFXN1,1.454979736137396e-7,4.691279670839428e-7,0.5,0.5,1.028711010516714e-4,6.195174032715131e-4,bsA1/bsA,32.47296000000006,1.208625421966758e-8,4.7235173342152776e-8,M1/M2,8.452686000000085,0.0146057060686612,0.07478678578184565,Selection associated with trait,PS_fg
OG0005656,CPEB4,0,0,0.5,0.5,1.221245327087672e-15,2.8410368442518046e-14,bsA1/bsA,181.46861999999965,0,0,M1/M2,3.059999999095e-4,0.9998470117039484,1,Selection associated with trait,PS_fg
OG0005675,IL17B,0,0,0.5,0.5,4.3680874584062224e-8,4.380235094443504e-7,bsA1/bsA,166.93422599999985,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005687,NA,0,0,0.5,0.5,9.139982559691617e-8,8.701585156388477e-7,bsA1/bsA,131.0585740000006,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005691,TYW5,1.03132502538017e-11,4.1016023757536725e-11,0.5,0.5,5.312418642433592e-5,3.3631068713694444e-4,bsA1/bsA,38.68637200000012,4.976716816429413e-10,2.131492676541344e-9,M1/M2,0.0119039999999586,0.9940656780613576,1,Selection associated with trait,PS_fg
OG0005692,SPATS2L,2.475797344914099e-14,1.1426960118872861e-13,0.348911897511778,0.5,1.1768364061026661e-14,2.496162318238351e-13,bsA1/bsA,110.3398619999989,0,0,M1/M2,0.2464739999995799,0.8840541169051207,1,Selection associated with trait,PS_fg
OG0005694,BZW1,8.0280043723846e-9,2.7634984024907057e-8,0.5,0.5,0.4588922984279732,0.9597037096654616,bsA1/bsA,22.31151999999929,2.3181178064879404e-6,7.716617382858504e-6,M1/M2,4.374354000000494,0.1122331359692789,0.40263344645012294,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005696,FAM126B,0,0,0.5,0.5,0,0,bsA1/bsA,709.8036159999992,0,0,M1/M2,0.0401200000005701,0.9801398631503998,1,Selection associated with trait,PS_fg
OG0005703,GTF2H3,5.116684853589959e-12,2.0710846923745328e-11,0.5,0.5,0.03458854047539528,0.1153484505873105,bsA1/bsA,70.94602399999985,0,0,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005710,ABCB9,0,0,0.2513775469383274,0.39610729992794713,4.552402255164623e-8,4.549248165842339e-7,bsA1/bsA,101.72818199999892,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005714,RNF34,0,0,0.5,0.5,4.7354220877871e-8,4.710384223874663e-7,bsA1/bsA,26.585356000000505,2.521477366901337e-7,8.935086972772871e-7,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005725,CLIP1,0,0,0.1060715724552473,0.18552615018577132,2.494910740979961e-4,0.00140110042520704,bsA1/bsA,22.28965199999948,2.344667080045326e-6,7.795418688625136e-6,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005738,MAPKAPK5,0,0,0.1213573484702189,0.20908351456525467,2.266409282469795e-11,3.3758185766770403e-10,bsA1/bsA,363.85287999999946,0,0,M1/M2,0.0167020000008051,0.9916837727370664,1,Selection associated with trait,PS_fg
OG0005740,TMEM116,0,0,0.1007989313916687,0.17726355461562712,0,0,bsA1/bsA,207.59701400000085,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005747,ISCU,7.999657047896847e-10,2.897824700397627e-9,0.5,0.5,1.5278001086471698e-11,2.315513509672961e-10,bsA1/bsA,56.10381400000006,6.872280522429719e-14,3.736773803801417e-13,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005751,USP30,0,0,0.3286468028179554,0.49791831785479446,0,0,bsA1/bsA,247.07407800000144,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005771,ASPHD2,0,0,0.5,0.5,0,0,bsA1/bsA,382.0724360000004,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005774,TPST2,5.6666726866438915e-11,2.1727685170676227e-10,0.5,0.5,4.628724076805035e-6,3.474152485747682e-5,bsA1/bsA,36.13046600000053,1.8453906180937443e-9,7.614812352529973e-9,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005782,UBE2K,0.0033933113477092,0.00880267278269648,0.02239020565293148,0.04511404882897998,0.3982793395881733,0.8668786229366328,bsA1/bsA,11.209012000000255,8.140104687547e-4,0.00216740619079821,M1/M2,0.0825780000000122,0.9595517794083216,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005784,RBM47,1.5487655768975372e-8,5.262276129749229e-8,0.5,0.5,9.999410171956936e-5,6.038722653741473e-4,bsA1/bsA,27.74317399999927,1.3853615477010808e-7,5.009610329742921e-7,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005788,ASMTL,0,0,0.4380339549217661,0.5,1.420723350703534e-4,8.324265319558825e-4,bsA1/bsA,40.98865400000068,1.5311552026275876e-10,6.8614998027341e-10,M1/M2,0.2652339999995092,0.8758004594580114,1,Selection associated with trait,PS_fg
OG0005792,RPP21,2.775557561562891e-16,1.445227144269871e-15,0.4579160266603096,0.5,2.15110984580491e-9,2.5054784125969978e-8,bsA1/bsA,79.5886559999999,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005802,EVX2,3.659327568169557e-4,9.911680993721235e-4,0.5,0.5,2.717626483674795e-4,0.00151633395162615,bsA1/bsA,14.323954000000413,1.538941130816e-4,4.4205132340647575e-4,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005805,HOXD11,9.346967644319193e-13,3.9573707433433595e-12,0.07945679816998602,0.14334357543528434,1.671474683658802e-4,9.630454002918292e-4,bsA1/bsA,38.818654000000606,4.65062321985954e-10,1.9970901296480824e-9,M1/M2,0.0856659999999465,0.9580713746275364,1,Selection associated with trait,PS_fg
OG0005812,TTC30B,0,0,0.2338813928727787,0.37281443616154486,0,0,bsA1/bsA,90.0450120000005,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005819,MICOS10 MINOS1,3.578433839394046e-4,9.698642795526488e-4,0.120558176191508,0.20783076827914543,9.788469521376795e-6,7.00656867146359e-5,bsA1/bsA,24.858195999999907,6.170613102707279e-7,2.129975113032164e-6,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005820,SLC66A1 PQLC2,0,0,0.02659584356050598,0.05271654378667401,3.108624468950438e-14,6.300242659085969e-13,bsA1/bsA,100.32160600000044,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005829,SH2D3C,5.135264825445462e-5,1.4523065947517983e-4,0.0262259286780922,0.05203099192577026,0.0778161712652633,0.2338267868505516,bsA1/bsA,10.717319999999743,0.0010613729209473,0.00278139925028388,M1/M2,3.2502800000002026,0.1968841094992899,0.62513978892014,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005842,PTCD2,0,0,0.5,0.5,1.434763197138977e-8,1.5086805234557361e-7,bsA1/bsA,122.42585800000052,0,0,M1/M2,1.4376579999998285,0.4873225767093704,1,Selection associated with trait,PS_fg
OG0005852,RAD17,5.6066262743570405e-15,2.6925495992389482e-14,0.5,0.5,0.00217487464385846,0.01007028633919267,bsA1/bsA,17.09684399999969,3.552128344330718e-5,1.0770328724753604e-4,M1/M2,2.7624240000004647,0.2512738245561652,0.7551398043324838,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005855,ZFYVE16,5.551115123125783e-17,2.9987110034663246e-16,0.5,0.5,0.04177067751252794,0.13579393057603936,bsA1/bsA,29.617726000000403,5.2621514479156424e-8,1.952351853952819e-7,M1/M2,5.90483999999924,0.052213196997628,0.21714220164744424,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005868,PDE8B,4.0523140398818206e-15,1.9591466872143737e-14,0.3339165925789184,0.5,0.00330485912268507,0.01469728151396667,bsA1/bsA,40.22783199999867,2.2600532556538155e-10,9.941543785286723e-10,M1/M2,3.9541320000007545,0.1384749273093115,0.4753402219103493,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005875,JMY,0,0,0.2023035054843367,0.3288381924232625,0,0,bsA1/bsA,211.6560460000001,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005884,STYX,3.193486175501192e-8,1.0666317777995879e-7,0.07032103184004412,0.12857769058604307,0.05928353248092577,0.1851460447816426,bsA1/bsA,21.383961999999883,3.7590249966079625e-6,1.2311488395417456e-5,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005885,PSMC6,0,0,0.5,0.5,6.844331635225132e-5,4.242897275876668e-4,bsA1/bsA,116.46916400000008,0,0,M1/M2,1.419999998688e-4,0.999929002520506,1,Selection associated with trait,PS_fg
OG0005904,MAPK1IP1L,0,0,0.5,0.5,0.00185641886410514,0.00870756035228506,bsA1/bsA,109.24342000000024,0,0,M1/M2,0.6048220000002402,0.7390342593810821,1,Selection associated with trait,PS_fg
OG0005910,ACTR10,1.067546052169188e-6,3.3006586407546097e-6,0.5,0.5,0.04227118541402342,0.13721486818190498,bsA1/bsA,13.0067939999999,3.103628558277e-4,8.610715546154857e-4,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005911,ARMH4,2.7700064464397662e-14,1.2757656087008905e-13,0.4859141238063172,0.5,6.529347591222034e-5,4.076837954865475e-4,bsA1/bsA,90.07242000000042,0,0,M1/M2,4.914049999999406,0.0856894983980356,0.32462265001583857,Selection associated with trait,PS_fg
OG0005923,PXDC1,1.03423826460225e-5,3.0339993023280923e-5,0.0349533119489136,0.06792857884704656,2.134595217362367e-6,1.7057051718424674e-5,bsA1/bsA,52.44104999999991,4.43312053732825e-13,2.296802858377396e-12,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005931,ANKRD40,0,0,0.5,0.5,0.2511298355385685,0.6101284662410926,bsA1/bsA,147.154544,0,0,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005944,RFNG,5.600098801350484e-6,1.6688448700718694e-5,0.5,0.5,0.04988107752498017,0.1594646637979972,bsA1/bsA,12.94590799999969,3.20621549308e-4,8.877154544702766e-4,M1/M2,0.3651820000004591,0.8331088275752381,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005945,DCXR,0,0,0.5,0.5,9.628682992601778e-4,0.00481656778138588,bsA1/bsA,63.74726399999963,1.4432899320127037e-15,8.60154241739829e-15,M1/M2,0.3901059999998324,0.8227910489748611,1,Selection associated with trait,PS_fg
OG0005954,ALYREF,1.947071787133936e-8,6.57944523461815e-8,0.5,0.5,2.503982458739173e-4,0.00140528302191496,bsA1/bsA,38.58855999999969,5.232472233274166e-10,2.235142763230987e-9,M1/M2,5.439999999907e-4,0.9997280369886508,1,Selection associated with trait,PS_fg
OG0005955,ARHGDIA,1.831867990631508e-15,9.079602285753192e-15,0.01368708433678861,0.02864523043544586,3.368996438490868e-7,2.9776059461195107e-6,bsA1/bsA,70.31295,0,0,M1/M2,0.9765159999997196,0.6136945194301524,1,Selection associated with trait,PS_fg
OG0005973,ENGASE,0,0,0.07996214967389287,0.14395515774451195,0,0,bsA1/bsA,84.35683000000063,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005984,BAIAP2,0,0,0.5,0.5,7.771561172376097e-16,1.8527573109020037e-14,bsA1/bsA,151.3099259999999,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005985,AATK,0,0,0.5,0.5,1.367571833554848e-9,1.6145929942133226e-8,bsA1/bsA,206.9751019999967,0,0,M1/M2,0.8595960000020568,0.6506405108323616,1,Selection associated with trait,PS_fg
OG0005986,PVALEF,4.3389225545809035e-10,1.593762130192833e-9,0.4243319265049864,0.5,3.927057392207889e-4,0.002136062518678,bsA1/bsA,31.292849999999817,2.2189535320293885e-8,8.524514774039177e-8,M1/M2,0.2734060000000227,0.8722292397508792,1,Selection associated with trait,PS_fg
OG0005990,FSCN2,2.875366611476693e-12,1.1821103399391589e-11,0.4818212136780864,0.5,0.199873959937234,0.5084389327739045,bsA1/bsA,37.29554199999984,1.015163952899911e-9,4.262535006778604e-9,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005993,CCDC137,5.971334537946404e-13,2.5506381585087953e-12,0.2371202560948658,0.3768666108806187,7.236393835097221e-5,4.4667440976413233e-4,bsA1/bsA,48.39904599999954,3.477329535428453e-12,1.7204632862749784e-11,M1/M2,4.495996000000105,0.1056104451707133,0.3843307687025704,Selection associated with trait,PS_fg
OG0005996,BTBD17,6.568079413682426e-13,2.7995753316650876e-12,0.5,0.5,0.00354045762388499,0.01564817174519956,bsA1/bsA,12.993290000000345,3.126092079354e-4,8.668511022249418e-4,M1/M2,8.139999999912e-4,0.999593082813269,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
